Timestamp,Result,Duration (s),Zombies Killed
2026-02-24 22:45:23,WIN,242.81,347
2026-02-25 00:58:19,WIN,229.32,363
2026-02-25 11:12:09,WIN,235.51,366
2026-02-25 11:16:36,WIN,231.59,333
2026-02-25 11:22:35,WIN,235.82,361
2026-02-25 11:27:32,WIN,235.32,383
2026-02-25 11:42:17,WIN,232.54,356
2026-02-25 12:39:40,WIN,232.61,341
2026-02-25 12:43:56,WIN,230.79,376
2026-02-25 12:58:08,WIN,232.95,337
2026-02-25 13:04:46,WIN,233.06,364
2026-02-25 14:30:41,WIN,231.34,376
2026-02-25 14:39:44,WIN,231.64,364
2026-02-25 14:45:03,WIN,232.38,354
2026-02-25 14:56:22,WIN,231.81,356
2026-02-25 15:00:48,WIN,235.21,369
2026-02-25 15:10:26,WIN,232.47,356
2026-02-25 16:47:48,WIN,234.75,336
2026-02-25 16:54:55,WIN,233.60,349
2026-02-25 17:06:40,WIN,232.06,352
2026-02-25 20:09:51,WIN,230.56,346
2026-02-25 20:23:32,WIN,227.11,344
2026-02-25 20:41:35,WIN,231.09,328
2026-02-25 20:45:57,WIN,233.87,358
2026-02-25 21:18:00,WIN,231.81,322
2026-02-25 21:25:46,WIN,230.71,361
2026-02-25 21:46:50,WIN,232.48,355
2026-02-25 21:55:34,WIN,230.78,336
2026-02-25 22:01:01,WIN,231.05,357
2026-02-25 22:07:24,WIN,233.03,342
2026-02-25 22:15:23,WIN,234.12,364
2026-02-25 22:57:26,WIN,233.02,361
2026-02-25 23:01:48,WIN,233.40,353
2026-02-25 23:25:31,WIN,236.42,331
2026-02-25 23:30:24,WIN,232.04,340
2026-02-26 10:29:13,WIN,242.11,331
2026-02-26 10:35:18,WIN,233.20,321
2026-02-26 10:40:06,WIN,234.21,321
2026-02-26 10:51:53,WIN,260.32,405
2026-02-26 11:03:42,WIN,260.35,420
2026-02-26 11:08:48,WIN,234.30,331
2026-02-26 11:14:01,WIN,260.77,354
2026-02-26 22:22:49,WIN,250.56,384
