epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8936,1.92296,4.50492,1.49134,0,0,0,0,1.86454,4.70359,1.50189,2.5e-05,2.5e-05,2.5e-05
2,20.8627,1.5905,4.38344,1.31164,0,0,0,0,1.58298,4.4623,1.3178,6.12625e-05,6.12625e-05,6.12625e-05
3,30.3527,1.26752,4.06356,1.11755,0,0,0,0,1.14558,4.18919,1.10746,9.604e-05,9.604e-05,9.604e-05
4,39.1271,1.23283,3.72274,1.04349,0,0,0,0,1.05694,4.13095,1.08848,0.000129332,0.000129332,0.000129332
5,47.8915,1.16304,3.17881,1.00207,0,0,0,0,1.02762,4.08088,1.06996,0.00016114,0.00016114,0.00016114
6,56.6238,1.17163,2.5348,1.0015,0.00291,0.0625,0.00264,0.00026,1.01367,3.98918,1.06164,0.000191463,0.000191463,0.000191463
7,65.2938,1.14288,2.04561,1.00527,0.00765,0.1875,0.17162,0.1047,1.03642,3.90132,1.06953,0.0002203,0.0002203,0.0002203
8,74.0957,1.14165,1.81827,0.99216,0.00728,0.1875,0.1872,0.11243,1.05773,3.86527,1.07376,0.000247653,0.000247653,0.000247653
9,82.9424,1.17775,1.75868,1.01155,0.00765,0.1875,0.18724,0.09998,1.15184,3.73567,1.06824,0.00027352,0.00027352,0.00027352
10,91.5698,1.13642,1.62512,0.98508,0.01042,0.25,0.22792,0.10406,1.18458,3.6841,1.05881,0.000297903,0.000297903,0.000297903
11,100.34,1.17204,1.46944,0.99761,0.00609,0.25,0.18718,0.13107,1.2078,3.66582,1.07317,0.0003208,0.0003208,0.0003208
12,109.069,1.05938,1.34152,0.97373,0.01009,0.5,0.29122,0.14793,1.21474,3.6031,1.09448,0.000342213,0.000342213,0.000342213
13,117.804,1.05242,1.29538,0.96802,0.01169,0.6875,0.56034,0.38589,1.12096,3.48585,1.09443,0.00036214,0.00036214,0.00036214
14,126.434,0.99502,1.1652,0.92374,0.01152,0.6875,0.6843,0.47053,1.18238,3.4341,1.12443,0.000380582,0.000380582,0.000380582
15,135.297,1.02549,1.13996,0.97107,0.01083,0.6875,0.62549,0.4239,1.2196,3.3234,1.17538,0.00039754,0.00039754,0.00039754
16,144.032,1.02564,1.04373,0.98199,0.00958,0.625,0.62216,0.45092,1.16131,3.29799,1.12303,0.000413012,0.000413012,0.000413012
