epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.089,1.23846,4.17397,1.24234,0.0274,0.09278,0.06111,0.03785,0.8346,3.86784,0.91733,0.0001,0.0001,0.0001
2,90.5188,1.05337,3.1564,1.01258,0.03741,0.23898,0.15705,0.10965,1.01151,3.4569,0.88715,0.000205842,0.000205842,0.000205842
3,134.983,1.00718,2.2587,0.96868,1,0.12159,0.2065,0.15482,0.94222,2.97089,0.88803,0.000307328,0.000307328,0.000307328
4,178.336,0.95513,1.65298,0.96349,1,0.13533,0.17357,0.13976,0.84987,3.09266,0.92029,0.000404458,0.000404458,0.000404458
5,222.536,0.91315,1.20477,0.97808,0.99833,0.19295,0.41317,0.3239,0.84607,2.25273,0.91461,0.000497232,0.000497232,0.000497232
6,267.828,0.93037,1.04255,1.00223,0.99301,0.36337,0.60353,0.47415,0.85718,1.69436,0.91898,0.00058565,0.00058565,0.00058565
7,311.392,0.8944,0.9126,0.98937,0.96502,0.46525,0.6108,0.48748,0.82447,1.30018,0.9088,0.000669712,0.000669712,0.000669712
8,351.927,0.87153,0.82131,0.98263,0.66691,0.61082,0.70776,0.569,0.80495,1.06013,0.93362,0.000749418,0.000749418,0.000749418
9,391.74,0.84575,0.79863,0.97111,0.87947,0.62135,0.76094,0.60531,0.78932,0.8342,0.9513,0.000824768,0.000824768,0.000824768
10,431.579,0.83426,0.76766,0.96192,0.95772,0.62421,0.78005,0.64014,0.74974,0.69502,0.92462,0.0008218,0.0008218,0.0008218
11,473.478,0.81273,0.74539,0.95263,0.88027,0.77481,0.81812,0.68582,0.7388,0.68453,0.93272,0.000802,0.000802,0.000802
12,516.768,0.81193,0.72515,0.95937,0.73438,0.80785,0.82804,0.67747,0.73669,0.6338,0.92484,0.0007822,0.0007822,0.0007822
13,560.025,0.78449,0.68436,0.93722,0.77275,0.97451,0.83363,0.68832,0.74171,0.63661,0.92044,0.0007624,0.0007624,0.0007624
14,604.022,0.77553,0.6754,0.9332,0.75152,0.95782,0.83442,0.69553,0.72557,0.62451,0.91121,0.0007426,0.0007426,0.0007426
15,647.676,0.74714,0.62973,0.92247,0.74929,0.80449,0.83257,0.69153,0.70167,0.67054,0.90991,0.0007228,0.0007228,0.0007228
16,688.822,0.75698,0.63907,0.92124,0.80326,0.78668,0.82907,0.69327,0.71647,0.63823,0.91156,0.000703,0.000703,0.000703
17,728.904,0.7708,0.611,0.91965,0.95381,0.78845,0.83644,0.68375,0.72214,0.62514,0.92065,0.0006832,0.0006832,0.0006832
