episode,result,duration,kills,clicks,suns,gravebusters,cherries,ices,mowers,closest_approach,danger_near
1,WIN,222.7,248,332,76,9,3,4,0,1.95,0
2,WIN,253.9,253,441,35,6,1,3,4,-0.61,42
3,WIN,241.1,247,385,66,6,2,3,0,1.21,0
4,WIN,232.8,247,373,63,9,2,4,0,0.89,8
5,WIN,243.3,256,419,45,7,2,3,0,-0.59,55
6,WIN,225.5,237,343,66,9,2,3,0,0.66,2
7,WIN,255.7,270,382,76,6,2,4,0,0.77,3
8,WIN,245.5,262,373,52,8,2,3,0,1.20,0
9,WIN,227.3,239,369,44,5,2,3,0,1.16,0
10,WIN,250.6,264,421,66,7,2,3,0,-0.50,35
11,WIN,235.5,241,404,45,6,1,2,0,-0.33,28
12,WIN,234.5,249,329,82,10,3,4,0,0.89,2
13,WIN,241.5,254,393,56,6,2,3,0,0.26,17
14,WIN,232.9,253,378,47,7,2,3,0,1.16,0
15,WIN,256.5,267,433,77,8,2,3,0,-0.23,20
16,WIN,229.3,246,361,50,7,2,3,0,0.46,8
17,WIN,238.5,248,402,35,5,1,2,2,-0.60,39
18,WIN,239.7,258,413,36,6,2,2,0,0.30,12
19,WIN,224.4,259,322,58,7,3,4,0,0.77,4
20,WIN,231.8,240,392,51,6,1,3,1,-0.60,35
21,WIN,246.5,256,376,56,10,2,4,0,0.73,3
22,WIN,238.1,245,391,52,7,2,3,0,-0.54,20
23,WIN,224.6,249,381,43,6,2,3,0,0.28,4
24,WIN,235.1,241,410,28,6,1,3,1,-0.61,39
25,WIN,221.8,248,324,75,10,3,4,0,0.99,2
26,WIN,224.0,250,325,60,8,3,4,0,1.90,0
27,WIN,235.9,253,372,54,10,2,3,0,0.06,14
28,WIN,227.1,245,345,59,5,2,3,0,0.75,6
29,WIN,239.1,244,379,49,6,2,3,0,0.84,1
30,WIN,233.9,243,394,41,5,2,3,1,-0.61,45
31,WIN,233.4,250,376,46,5,2,4,0,0.93,3
32,WIN,237.1,253,335,60,11,2,3,0,1.30,0
33,WIN,236.6,249,402,48,7,2,4,0,0.57,5
34,WIN,232.4,252,341,74,8,3,4,0,1.50,0
35,WIN,228.0,243,361,41,6,2,3,0,0.94,2
36,WIN,247.7,259,380,62,8,2,3,0,0.87,1
37,WIN,213.9,233,285,70,9,3,4,0,0.98,1
38,WIN,237.6,253,381,57,9,2,3,0,0.06,14
39,WIN,234.1,241,392,48,6,0,0,0,0.30,29
40,WIN,223.7,239,362,53,9,2,3,0,0.99,1
41,WIN,227.7,231,388,41,8,1,3,0,0.25,14
42,WIN,228.3,237,397,35,7,0,0,2,-0.61,39
43,WIN,231.6,246,359,62,10,2,3,0,0.65,7
44,WIN,249.4,259,390,54,10,2,3,0,0.24,16
45,WIN,237.3,261,355,67,9,3,4,0,2.13,0
46,WIN,227.1,232,373,36,6,1,2,1,-0.61,46
47,WIN,232.8,237,367,62,6,2,3,1,-0.60,26
48,WIN,239.5,252,438,36,6,1,2,0,0.25,17
49,WIN,231.7,239,372,62,7,2,3,3,-0.61,29
50,WIN,239.3,255,351,69,11,3,4,0,1.96,0
51,WIN,250.2,257,408,60,6,2,3,0,-0.48,42
52,WIN,242.4,242,380,66,9,2,4,0,0.81,3
53,WIN,235.1,252,364,63,8,2,3,0,0.24,14
54,WIN,218.0,243,330,72,9,3,4,0,2.11,0
55,WIN,249.9,257,402,61,7,2,3,0,0.26,13
56,WIN,245.5,254,395,65,8,2,3,2,-0.61,30
57,WIN,220.4,238,324,68,6,3,4,0,0.59,9
58,WIN,234.2,241,373,36,7,1,3,0,-0.45,17
59,WIN,241.6,256,398,39,5,2,3,0,0.11,18
60,WIN,232.0,250,358,53,6,2,3,0,2.23,0
61,WIN,215.5,240,340,49,7,2,4,0,2.09,0
62,WIN,235.4,248,366,59,8,2,4,0,1.73,0
63,WIN,230.6,265,333,60,11,3,4,0,0.87,3
64,WIN,239.0,260,352,61,9,3,4,0,1.43,0
65,WIN,231.6,271,342,66,10,3,4,0,0.68,7
66,WIN,259.5,273,433,47,5,1,3,0,-0.42,25
67,WIN,240.3,265,364,76,9,3,4,0,0.92,5
68,WIN,220.8,231,371,47,5,2,3,0,0.15,26
69,WIN,218.6,245,341,47,5,3,4,0,0.94,3
70,WIN,228.3,241,372,60,8,2,3,0,0.97,2
71,WIN,224.2,244,344,43,6,2,3,0,1.87,0
72,WIN,244.5,253,404,53,5,2,3,0,0.13,29
73,WIN,239.3,259,370,70,9,2,3,0,1.67,0
74,WIN,242.4,242,397,54,10,1,3,2,-0.60,38
75,WIN,227.4,235,353,69,11,2,3,0,0.91,5
76,WIN,239.1,259,354,78,7,2,3,0,1.89,0
77,WIN,257.8,263,419,59,7,2,3,0,-0.26,24
78,WIN,222.9,254,334,57,9,3,4,0,0.52,6
79,WIN,226.6,248,308,67,8,3,4,0,0.97,2
80,WIN,243.4,258,409,60,6,2,3,0,-0.22,12
81,WIN,235.7,252,370,48,7,3,4,0,0.86,10
82,WIN,237.5,262,380,58,8,3,4,0,1.56,0
83,WIN,224.2,240,350,54,8,2,3,0,0.13,7
84,WIN,244.3,253,371,58,9,2,3,0,0.91,4
85,WIN,234.1,252,388,44,6,2,3,0,0.01,16
86,WIN,248.0,250,404,38,5,2,3,2,-0.61,33
87,WIN,246.8,257,382,66,10,2,3,0,0.22,8
88,WIN,233.2,253,330,82,11,3,4,0,1.29,0
89,WIN,219.9,227,372,35,7,0,0,2,-0.60,91
90,WIN,224.5,247,392,42,5,2,4,0,1.31,0
91,WIN,233.0,246,367,57,8,2,4,0,1.21,0
92,WIN,234.2,264,360,60,8,3,4,0,2.72,0
93,WIN,239.4,253,384,62,8,2,3,0,0.17,24
94,WIN,238.4,241,403,37,7,1,2,3,-0.61,36
95,WIN,248.3,254,398,60,7,2,3,0,0.22,24
96,WIN,224.1,249,345,60,8,3,4,0,2.68,0
97,WIN,229.9,256,347,69,7,3,4,0,1.55,0
98,WIN,236.4,258,368,48,7,2,4,0,0.90,4
99,WIN,243.6,256,361,79,8,2,3,0,1.99,0
100,WIN,241.4,257,365,65,7,3,4,0,0.97,3
101,WIN,235.4,250,380,45,7,2,3,0,0.76,1
102,WIN,243.7,265,417,41,8,2,2,0,0.44,9
103,WIN,247.0,264,363,90,9,3,4,0,0.79,9
104,WIN,241.3,252,364,56,8,3,4,0,0.88,5
105,WIN,235.6,243,418,36,6,1,2,1,-0.60,40
106,WIN,226.0,259,334,58,7,3,4,0,1.96,0
107,WIN,226.7,243,382,44,8,1,3,0,0.75,3
108,WIN,250.7,263,447,30,9,0,1,0,-0.57,23
109,WIN,218.8,243,352,56,8,3,4,0,1.88,0
110,WIN,225.9,236,364,62,8,2,3,0,1.43,0
111,WIN,226.5,229,375,39,6,1,2,3,-0.60,51
112,WIN,238.2,255,374,57,10,2,3,0,0.06,23
113,WIN,218.9,237,341,49,8,2,4,0,0.88,1
114,WIN,235.5,249,375,66,6,2,3,0,1.02,0
115,WIN,243.1,256,405,61,8,2,3,0,0.43,14
116,WIN,248.3,262,407,53,8,1,3,0,0.80,4
117,WIN,230.3,245,366,49,6,2,3,0,0.96,2
118,WIN,222.2,239,343,61,7,2,4,0,0.69,12
119,WIN,241.3,260,353,67,10,2,3,0,0.38,6
120,WIN,239.2,257,360,77,9,2,4,0,1.67,0
121,WIN,245.4,267,371,49,7,2,3,0,0.97,3
122,WIN,246.6,258,387,56,8,2,3,0,0.27,15
123,WIN,240.5,251,377,35,3,1,2,3,-0.61,53
124,WIN,227.2,240,371,39,6,1,2,0,0.40,20
125,WIN,245.1,254,403,48,6,2,4,0,0.99,1
126,WIN,231.0,264,346,74,11,3,4,0,1.87,0
127,WIN,215.9,240,357,38,6,2,4,0,2.04,0
128,WIN,229.6,254,348,51,8,3,4,0,0.94,1
129,WIN,215.4,237,322,55,6,2,4,0,1.29,0
130,WIN,259.7,259,418,70,10,1,2,0,-0.23,28
131,WIN,225.8,254,329,71,9,3,4,0,2.00,0
132,WIN,227.5,258,343,67,9,3,4,0,1.96,0
133,WIN,253.3,254,423,47,5,1,2,1,-0.60,43
134,WIN,226.8,239,342,68,7,2,3,0,1.23,0
135,WIN,249.6,254,395,59,7,2,3,0,0.21,15
136,WIN,231.5,250,337,83,7,3,4,0,0.94,1
137,WIN,220.4,249,340,63,7,3,4,0,1.77,0
138,WIN,252.8,262,446,48,8,1,2,0,-0.41,57
139,WIN,218.4,252,298,49,7,3,4,0,0.87,1
140,WIN,231.3,255,333,58,8,3,4,0,0.97,2
141,WIN,232.0,246,384,50,7,2,3,1,-0.60,40
142,WIN,238.9,261,353,56,7,2,3,0,1.22,0
143,WIN,243.2,255,429,26,5,1,3,1,-0.60,39
144,WIN,232.0,262,356,53,7,3,3,0,1.54,0
145,WIN,231.6,238,396,38,7,1,2,0,-0.29,49
146,WIN,230.0,257,315,89,13,3,4,0,1.53,0
147,WIN,235.5,261,345,69,10,3,4,0,1.63,0
148,WIN,249.9,252,428,52,8,1,2,2,-0.61,44
149,WIN,236.4,257,376,73,6,2,3,0,1.26,0
150,WIN,240.3,250,379,53,7,2,3,0,0.92,1
151,WIN,225.6,241,371,44,6,2,3,0,0.42,10
152,WIN,232.9,247,352,70,7,2,3,0,0.92,2
153,WIN,227.0,236,372,51,8,2,3,0,1.19,0
154,WIN,212.9,235,334,46,7,2,3,0,0.92,3
155,WIN,224.8,256,343,67,7,3,4,0,0.87,6
156,WIN,225.4,239,369,55,8,2,3,0,0.21,27
157,WIN,239.4,256,387,65,8,2,3,0,0.25,9
158,WIN,245.7,254,393,61,9,2,3,0,0.87,4
159,WIN,236.1,249,407,45,8,2,3,1,-0.61,43
160,WIN,240.0,257,344,87,8,3,4,0,2.65,0
161,WIN,243.7,267,365,57,6,3,4,0,1.32,0
162,WIN,250.8,262,425,49,5,2,3,0,0.19,8
163,WIN,235.3,245,389,58,9,2,3,1,-0.61,28
164,WIN,248.2,255,387,57,8,2,4,0,0.94,3
165,WIN,226.7,241,381,36,5,2,4,0,0.19,17
166,WIN,238.7,254,363,68,9,3,4,0,0.56,3
167,WIN,244.0,254,421,47,6,2,3,0,-0.08,33
168,WIN,236.1,259,349,61,7,3,4,0,0.87,10
169,WIN,235.4,255,378,49,6,2,3,0,2.34,0
170,WIN,220.2,218,395,36,6,1,2,3,-0.61,67
171,WIN,216.4,234,333,57,6,3,4,0,0.90,1
172,WIN,242.9,260,399,55,7,2,3,0,0.60,8
173,WIN,239.2,252,390,63,10,2,4,0,2.63,0
174,WIN,237.8,257,360,64,7,3,4,0,0.99,1
175,WIN,233.0,255,403,63,10,2,3,0,0.85,6
176,WIN,228.0,243,383,49,7,1,2,0,0.81,4
177,WIN,231.3,242,370,52,6,2,3,0,0.78,1
178,WIN,237.6,254,375,42,6,2,3,0,1.07,0
179,WIN,220.3,237,344,58,9,3,4,0,1.97,0
180,WIN,227.4,249,332,72,9,2,3,0,0.89,5
181,WIN,220.7,256,313,68,9,3,4,0,0.86,2
182,WIN,227.9,239,334,42,5,2,4,0,1.42,0
183,WIN,231.8,241,391,55,8,1,2,1,-0.61,39
184,WIN,254.4,264,413,62,9,2,3,0,0.87,1
185,WIN,234.9,263,345,83,9,3,4,0,0.79,5
186,WIN,225.9,242,350,62,8,2,4,0,-0.11,47
187,WIN,240.8,249,384,60,6,2,3,0,0.62,4
