episode,result,duration,kills,clicks,suns,gravebusters,potato_mines,ices,mowers,closest_approach,danger_near
1,WIN,223.3,218,374,47,5,4,4,0,1.03,0
2,WIN,219.8,226,354,50,5,3,4,0,1.28,0
3,WIN,241.5,231,379,81,8,3,4,0,1.77,0
4,WIN,242.1,234,386,60,7,3,3,0,0.78,5
5,WIN,233.4,229,366,70,6,3,4,0,0.53,2
6,WIN,230.6,228,385,53,6,3,4,0,1.81,0
7,WIN,252.7,248,425,46,6,4,3,0,0.70,4
8,WIN,248.7,246,424,64,7,4,3,0,1.28,0
9,WIN,237.7,227,353,82,7,4,4,0,1.96,0
10,WIN,242.0,231,386,57,7,3,4,0,1.89,0
11,WIN,226.1,218,368,28,3,4,4,0,1.04,0
12,WIN,236.5,232,382,62,8,3,4,0,0.89,4
13,WIN,236.3,232,399,52,5,3,4,0,1.91,0
14,WIN,243.8,242,430,38,4,3,3,0,0.23,9
15,WIN,232.0,228,385,41,6,3,3,0,0.90,2
16,WIN,235.0,224,379,60,5,4,3,0,0.24,9
17,WIN,240.2,243,414,38,4,3,3,0,1.00,1
18,WIN,239.6,238,397,30,4,3,4,0,0.88,7
19,WIN,237.8,230,363,57,6,3,4,0,1.97,0
20,WIN,247.6,242,423,35,5,4,3,0,1.22,0
21,WIN,236.9,231,379,53,4,3,4,0,0.93,2
22,WIN,216.4,217,331,55,6,3,3,0,1.27,0
23,WIN,221.0,216,362,55,9,2,4,0,0.97,4
24,WIN,243.2,237,392,45,7,4,2,0,0.07,19
25,WIN,221.8,224,365,48,6,4,2,0,0.41,10
26,WIN,236.4,231,390,41,3,4,3,0,0.99,1
27,WIN,240.5,234,398,59,7,4,4,0,1.62,0
28,WIN,231.4,221,364,48,5,4,4,0,0.94,2
29,WIN,227.1,228,373,51,8,4,2,0,0.82,1
30,WIN,242.1,235,410,34,6,2,3,0,-0.51,34
31,WIN,236.2,234,376,52,7,4,3,0,0.66,7
32,WIN,251.4,244,390,75,9,3,3,0,1.13,0
33,WIN,228.1,223,372,70,7,3,4,0,2.14,0
34,WIN,232.2,229,389,39,3,3,3,0,1.27,0
35,WIN,237.3,234,375,53,5,3,4,0,2.15,0
36,WIN,227.6,232,384,42,4,4,3,0,0.78,1
37,WIN,240.8,235,377,69,6,4,3,0,0.29,10
38,WIN,240.9,232,374,61,6,2,4,0,0.82,7
39,WIN,224.1,231,384,35,6,4,3,0,0.82,1
40,WIN,235.0,229,364,63,6,3,3,0,0.98,1
41,WIN,248.2,244,378,52,6,4,4,0,0.89,1
42,WIN,230.8,231,402,46,5,3,3,0,0.42,11
43,WIN,240.7,239,390,83,8,4,4,0,1.81,0
44,WIN,239.1,232,353,56,7,3,4,0,0.88,2
45,WIN,234.9,227,352,62,5,3,4,0,1.95,0
46,WIN,232.4,221,353,59,5,4,4,0,1.69,0
47,WIN,241.4,234,418,39,4,3,3,0,-0.15,22
48,WIN,225.6,221,340,66,7,4,3,0,2.28,0
49,WIN,255.6,241,411,79,7,4,4,0,2.51,0
50,WIN,243.6,243,396,51,8,2,2,0,0.51,13
51,WIN,245.2,241,397,49,5,3,4,0,0.29,10
52,WIN,246.5,244,389,49,6,4,3,0,0.18,30
53,WIN,228.7,226,358,36,6,3,3,0,0.64,3
54,WIN,232.4,225,377,45,6,4,3,0,0.80,4
55,WIN,240.4,235,365,68,6,4,3,0,2.00,0
56,WIN,225.3,219,362,63,7,4,3,0,1.29,0
57,WIN,246.0,237,415,57,8,4,4,0,-0.07,23
58,WIN,225.9,221,391,40,4,3,4,0,1.93,0
59,WIN,225.3,222,344,48,6,4,3,0,0.97,2
60,WIN,235.4,228,418,32,5,4,3,1,-0.61,23
61,WIN,236.3,234,382,45,6,5,3,0,1.10,0
62,WIN,244.3,239,420,41,4,3,3,0,0.08,23
63,WIN,239.8,241,390,54,5,3,3,0,1.00,0
64,WIN,236.2,234,386,62,6,3,3,0,0.91,2
65,WIN,235.8,227,373,41,4,3,5,0,0.93,2
66,WIN,243.2,232,391,62,5,3,3,0,0.93,2
67,WIN,249.4,239,417,48,7,5,3,0,0.32,19
68,WIN,231.0,225,386,67,8,4,4,0,2.04,0
69,WIN,229.7,225,365,53,4,3,4,0,0.95,2
70,WIN,230.3,231,362,74,8,5,3,0,1.12,0
71,WIN,241.8,236,393,62,5,3,3,0,0.47,3
72,WIN,228.8,215,363,63,7,5,4,0,1.81,0
73,WIN,226.2,222,381,53,8,3,4,0,1.21,0
74,WIN,238.8,233,391,57,6,3,4,0,2.04,0
75,WIN,242.9,242,392,59,6,4,4,0,1.42,0
76,WIN,223.2,213,380,42,5,3,3,0,0.89,3
77,WIN,229.0,223,341,53,6,4,3,0,0.97,2
78,WIN,231.3,228,387,42,4,4,3,0,0.15,18
79,WIN,234.4,230,375,67,5,3,4,0,1.00,1
80,WIN,228.6,221,360,56,5,5,3,0,1.17,0
81,WIN,237.2,231,381,56,6,3,3,0,0.93,1
82,WIN,237.4,230,380,46,6,4,4,0,0.93,2
83,WIN,239.0,244,384,59,8,4,2,0,1.16,0
84,WIN,226.1,216,371,44,5,2,4,0,0.98,1
85,WIN,250.9,235,378,81,10,4,3,0,2.79,0
86,WIN,225.4,229,384,40,6,4,3,0,0.49,4
87,WIN,236.0,225,403,47,7,4,3,1,-0.61,40
88,WIN,234.8,230,360,45,2,3,3,0,0.09,18
89,WIN,244.7,240,421,52,7,3,2,0,0.29,11
90,WIN,226.9,227,407,43,5,3,3,0,0.47,12
91,WIN,224.1,220,367,48,8,2,3,0,0.68,12
92,WIN,232.8,228,369,57,6,4,4,0,1.99,0
93,WIN,230.3,230,398,55,7,3,3,0,0.35,10
94,WIN,222.2,220,355,34,2,4,4,0,1.51,0
95,WIN,227.4,219,358,59,5,4,4,0,1.75,0
96,WIN,236.2,236,401,27,3,4,3,0,1.13,0
97,WIN,212.2,213,324,37,4,3,3,0,0.98,2
98,WIN,226.1,222,362,62,5,3,3,0,0.92,1
99,WIN,231.8,230,374,57,6,3,4,0,0.71,5
100,WIN,247.5,237,422,53,5,3,3,0,0.17,19
