episode,step,result,reward,duration,kills,kills_zombie,kills_cone,kills_bucket,clicks,suns_collected,gravebusters,potato_mines,ices,mowers_used
1,222,LOSS,-28.40,69.8,21,16,3,2,28,2,0,3,1,1
2,466,LOSS,-41.55,76.5,22,18,2,2,29,6,0,3,2,3
3,775,LOSS,-56.15,100.7,31,26,3,2,41,11,2,3,2,5
4,1073,LOSS,-52.85,110.6,53,38,10,5,78,10,1,3,3,5
5,1453,LOSS,-65.45,175.2,124,75,27,22,205,33,7,5,3,5
6,1809,LOSS,-27.05,172.0,125,90,25,10,180,34,6,6,4,2
7,2229,LOSS,-53.75,211.4,158,100,34,24,271,36,7,6,3,4
8,2683,LOSS,-56.70,215.5,165,105,45,15,264,46,10,7,4,4
9,3178,WIN,3.50,233.9,201,138,41,22,311,35,6,7,3,3
10,3700,WIN,-4.35,254.2,215,141,53,21,340,46,10,7,4,2
11,4067,LOSS,-46.90,182.4,148,100,28,20,228,32,6,6,4,4
12,4451,LOSS,-30.15,173.6,134,85,32,17,214,30,7,5,3,1
13,4923,WIN,0.25,235.5,190,120,44,26,319,55,11,7,6,3
14,5241,LOSS,-25.65,148.4,110,77,21,12,165,24,7,4,1,1
15,5583,LOSS,-36.65,160.3,121,89,23,9,187,33,9,5,1,2
16,6032,WIN,-24.25,227.7,194,113,56,25,320,45,8,7,6,4
17,6486,LOSS,-48.40,214.1,166,111,33,22,258,41,11,6,2,4
18,6862,LOSS,-26.30,176.3,148,93,44,11,235,26,6,5,2,2
19,7262,LOSS,-33.85,186.7,140,105,16,19,209,38,9,6,3,2
20,7683,LOSS,-22.45,206.1,187,112,44,31,301,34,8,6,2,1
21,8108,LOSS,-37.40,197.7,154,105,32,17,246,59,7,6,5,2
22,8526,LOSS,-51.60,196.0,153,93,35,25,263,33,7,5,4,4
23,8996,WIN,1.75,218.6,199,139,41,19,286,49,10,6,4,2
24,9293,LOSS,-15.85,136.7,96,66,17,13,144,37,7,4,3,1
25,9760,LOSS,-26.70,229.1,204,137,43,24,321,53,11,6,5,1
26,10181,LOSS,-26.45,207.5,173,114,39,20,255,52,12,6,4,1
27,10661,LOSS,-42.25,226.8,189,114,56,19,305,37,7,7,4,4
28,11037,LOSS,-23.50,179.4,142,103,28,11,220,41,9,4,5,2
29,11382,LOSS,-30.10,158.9,122,79,24,19,195,27,5,4,4,2
30,11785,LOSS,-32.15,179.3,142,104,28,10,203,35,9,5,2,2
31,12195,LOSS,-33.50,199.1,166,110,40,16,266,34,8,6,3,3
32,12671,WIN,-5.65,225.4,199,121,56,22,322,44,8,7,5,4
33,13025,LOSS,-37.25,149.9,94,59,24,11,150,27,6,5,2,3
34,13505,LOSS,-40.10,222.2,190,116,45,29,321,37,7,7,4,3
35,13888,LOSS,-27.70,179.3,137,102,24,11,212,37,8,5,4,1
36,14271,LOSS,-38.30,197.9,164,103,43,18,263,47,12,6,3,2
37,14764,WIN,2.95,238.1,204,136,45,23,332,40,7,6,6,3
38,15194,WIN,-11.80,215.7,178,108,45,25,290,43,10,5,4,4
39,15638,LOSS,-34.60,218.1,169,115,32,22,276,45,9,7,5,3
40,16223,WIN,-3.75,249.2,181,114,39,28,281,44,10,7,4,4
41,16716,LOSS,-39.40,234.8,183,118,43,22,300,46,11,6,4,3
42,17077,LOSS,-52.20,172.8,119,82,24,13,183,43,9,5,5,4
43,17539,LOSS,-27.30,222.9,175,112,43,20,299,41,9,6,4,2
44,18003,LOSS,-28.60,224.9,194,120,48,26,314,43,9,6,4,2
45,18300,LOSS,-26.80,117.4,73,61,10,2,98,24,5,4,2,2
46,18815,WIN,11.90,246.8,226,156,36,34,336,45,9,6,5,2
47,19181,LOSS,-18.25,170.1,127,85,24,18,199,45,10,5,3,1
48,19643,LOSS,-24.30,221.5,189,126,44,19,291,51,11,7,4,1
49,20037,LOSS,-38.40,193.1,154,98,37,19,255,28,5,6,3,3
50,20362,LOSS,-22.40,152.3,120,81,26,13,171,39,9,4,3,1
51,20799,LOSS,-17.15,198.2,169,119,34,16,260,34,8,6,3,1
52,21210,WIN,-9.35,202.9,179,112,46,21,289,37,7,6,5,3
53,21591,LOSS,-16.60,172.3,145,107,26,12,210,26,6,5,2,1
54,21927,LOSS,-28.60,151.6,108,75,21,12,159,28,6,5,3,2
55,22339,LOSS,-35.90,210.8,181,111,46,24,294,48,9,6,6,3
56,22756,LOSS,-30.20,193.2,163,105,38,20,254,28,7,5,2,2
57,23246,WIN,-11.20,226.8,187,133,42,12,262,55,12,7,5,3
58,23740,WIN,-11.05,237.8,204,136,44,24,314,55,13,5,4,4
59,24168,LOSS,-48.55,209.6,178,113,33,32,296,44,9,6,5,4
60,24652,WIN,-11.55,237.4,207,133,43,31,327,48,10,7,5,4
61,25087,LOSS,-30.10,207.6,178,120,46,12,257,40,8,6,5,3
62,25466,LOSS,-24.25,175.5,132,89,27,16,200,36,8,6,3,2
63,25969,WIN,8.30,246.2,216,137,52,27,341,60,10,7,7,2
64,26322,LOSS,-15.15,162.9,120,88,24,8,172,38,8,5,3,1
65,26821,WIN,-7.20,230.5,190,128,42,20,288,39,8,6,4,4
66,27315,WIN,12.80,236.0,215,141,53,21,329,46,10,6,5,1
67,27740,LOSS,-13.05,198.3,172,122,34,16,255,45,10,5,4,1
68,28120,LOSS,-22.70,165.8,116,81,22,13,171,30,8,5,2,2
69,28416,LOSS,-18.10,123.5,84,60,19,5,121,28,5,4,3,1
70,28877,WIN,2.30,224.9,200,128,50,22,314,49,11,7,4,3
71,29238,LOSS,-14.10,170.9,138,93,29,16,217,31,8,5,2,1
72,29712,LOSS,-40.55,231.9,198,128,45,25,317,45,8,7,5,3
73,30115,WIN,-14.80,205.4,176,116,39,21,274,41,9,5,4,4
74,30569,LOSS,-29.10,220.1,192,106,54,32,336,46,10,6,4,1
75,31009,WIN,-11.95,212.2,171,106,44,21,289,39,8,6,5,4
76,31391,LOSS,-22.05,173.8,134,84,34,16,209,28,6,5,3,1
77,31739,LOSS,-32.20,155.7,114,87,21,6,157,36,8,5,2,2
78,32222,WIN,-6.80,223.9,188,131,37,20,293,61,12,6,5,4
79,32684,WIN,-9.60,214.3,184,125,38,21,278,30,6,6,3,4
80,33124,WIN,0.90,214.6,192,118,41,33,322,40,7,6,4,2
81,33573,LOSS,-40.95,214.2,164,100,45,19,275,40,9,5,4,3
82,34077,WIN,-8.55,230.2,181,120,37,24,309,48,10,7,5,4
83,34410,LOSS,-16.15,150.4,93,65,14,14,147,35,8,5,3,1
84,34892,WIN,-17.55,230.7,189,119,46,24,322,31,7,5,3,4
85,35306,LOSS,-45.80,205.2,167,104,46,17,289,42,8,6,5,3
86,35743,LOSS,-12.00,182.3,132,103,15,14,186,32,8,5,2,1
87,36264,WIN,-9.30,232.9,182,121,36,25,291,40,8,6,4,4
88,36746,LOSS,-37.00,230.7,204,127,52,25,316,43,9,6,4,3
89,37201,WIN,1.05,222.9,195,126,44,25,299,47,11,5,4,2
90,37657,LOSS,-18.45,204.4,162,103,41,18,252,44,10,6,4,1
91,38093,WIN,-3.00,217.0,193,121,49,23,304,41,10,5,4,3
92,38539,LOSS,-53.50,221.7,210,130,54,26,331,38,6,6,5,3
93,39052,WIN,-11.80,237.6,170,110,36,24,285,43,9,7,4,4
94,39445,LOSS,-19.80,186.2,155,99,36,20,247,29,5,6,3,1
95,39876,LOSS,-33.55,209.9,195,134,45,16,301,32,6,5,4,2
96,40288,LOSS,-34.05,208.0,181,122,40,19,277,47,10,6,5,2
97,40749,WIN,4.50,225.1,207,129,55,23,342,53,8,6,5,2
98,41191,WIN,-2.15,215.9,193,128,43,22,306,44,9,6,4,3
99,41686,WIN,18.20,233.8,228,156,53,19,345,45,8,7,4,0
100,42212,WIN,20.65,258.0,237,148,56,33,400,79,14,5,5,1
101,42727,WIN,8.65,246.2,221,135,57,29,369,54,9,6,4,2
102,43241,WIN,24.00,246.3,227,149,46,32,368,62,11,5,5,0
103,43626,LOSS,-21.65,190.8,179,127,30,22,273,33,7,5,3,1
104,44070,WIN,1.80,214.6,186,124,33,29,306,45,10,5,4,3
105,44452,LOSS,-23.20,191.3,148,92,35,21,243,50,12,6,3,1
106,44954,WIN,-0.90,239.6,220,143,53,24,341,43,8,5,5,3
107,45466,WIN,22.65,252.3,238,156,50,32,381,52,9,6,4,0
108,45921,WIN,-21.05,222.1,193,118,58,17,317,42,8,6,5,4
109,46415,WIN,11.65,237.0,220,139,48,33,370,45,9,5,5,2
110,46722,LOSS,-18.20,129.1,87,63,16,8,129,36,7,4,2,1
111,47120,LOSS,-23.05,179.3,134,95,26,13,211,34,9,6,2,2
112,47603,WIN,5.85,241.6,232,128,59,45,401,52,7,5,5,1
113,47894,LOSS,-25.35,118.2,78,64,9,5,101,19,4,4,2,2
114,48426,WIN,6.10,253.5,232,152,49,31,384,70,9,6,5,2
115,48926,WIN,5.10,239.1,215,141,49,25,344,33,5,6,4,2
116,49358,LOSS,-22.70,205.1,180,134,28,18,258,46,8,6,3,1
117,49790,WIN,12.70,212.6,203,135,38,30,326,32,4,4,4,1
118,50201,LOSS,-72.20,200.7,190,122,48,20,292,30,7,5,3,3
119,50545,LOSS,-20.95,155.9,120,73,34,13,201,22,5,5,1,1
120,50987,WIN,-4.85,218.6,199,115,56,28,332,50,9,6,4,3
121,51429,WIN,-4.55,215.2,188,122,48,18,291,40,6,5,5,3
122,51821,LOSS,-21.40,178.2,139,99,22,18,223,50,8,5,4,2
123,52297,LOSS,-36.05,224.4,203,119,55,29,349,33,6,6,4,2
124,52791,WIN,23.35,237.7,227,154,49,24,339,44,7,7,4,0
125,53242,WIN,-7.35,216.5,202,134,44,24,320,29,7,5,3,3
126,53627,LOSS,-27.85,171.9,134,89,29,16,224,24,5,5,2,2
127,54057,LOSS,-23.90,210.0,187,113,48,26,292,42,8,5,5,1
128,54525,WIN,-7.35,224.5,199,118,57,24,332,42,5,5,4,3
129,54977,WIN,-7.40,220.1,206,131,51,24,330,28,6,6,2,3
130,55486,WIN,28.30,254.6,244,139,71,34,403,58,9,6,5,0
131,55971,WIN,-2.70,231.7,212,135,53,24,353,48,8,6,6,3
132,56450,WIN,15.20,227.7,217,125,56,36,369,48,4,5,4,0
133,56938,WIN,-2.60,234.2,226,138,56,32,373,27,4,7,4,2
134,57363,WIN,15.15,215.6,213,126,56,31,339,44,8,4,2,1
135,57814,WIN,12.25,224.0,221,132,57,32,358,49,9,5,4,1
136,58318,WIN,32.95,243.3,238,152,53,33,366,76,9,4,4,0
137,58829,WIN,25.20,254.0,234,137,58,39,395,61,9,6,4,1
138,59302,WIN,16.40,227.3,229,133,63,33,365,49,5,5,3,0
139,59785,WIN,11.05,232.5,225,146,55,24,357,41,9,5,5,1
140,60259,WIN,4.70,234.6,206,130,45,31,349,49,9,7,3,3
141,60700,LOSS,-34.35,212.4,175,116,38,21,287,45,10,5,4,3
142,61230,WIN,35.10,254.4,241,144,67,30,393,84,10,6,4,0
143,61721,WIN,30.65,246.6,241,143,62,36,391,65,6,6,4,0
144,62196,WIN,11.25,229.1,222,134,63,25,359,43,7,4,3,1
145,62667,WIN,24.20,221.4,217,143,53,21,337,55,7,4,2,0
146,63150,WIN,23.55,233.1,235,137,69,29,378,46,8,4,2,0
147,63641,WIN,6.60,244.2,231,134,56,41,409,49,7,4,2,1
148,64119,LOSS,-40.80,231.0,210,129,46,35,353,31,7,6,3,2
149,64580,WIN,26.40,231.9,217,138,53,26,350,48,8,5,4,0
150,65067,WIN,36.10,244.0,231,143,58,30,370,63,7,5,4,0
151,65566,WIN,10.50,247.3,234,147,59,28,368,45,5,6,3,0
152,66046,WIN,25.00,232.8,230,134,57,39,383,51,5,5,3,0
153,66337,LOSS,-17.05,124.8,82,61,15,6,119,31,9,4,1,1
154,66812,WIN,18.80,241.6,236,147,49,40,383,43,5,6,4,0
155,67292,WIN,5.20,234.0,225,147,52,26,352,40,7,6,5,2
156,67751,WIN,5.85,221.4,205,126,53,26,326,48,10,6,4,3
157,68219,WIN,-10.40,227.9,204,131,51,22,317,32,8,7,2,5
158,68656,WIN,18.30,206.7,193,120,47,26,309,68,9,4,3,1
159,69107,WIN,6.90,226.5,210,130,43,37,338,42,8,6,5,2
160,69573,WIN,14.45,227.7,223,140,56,27,364,37,5,4,3,0
161,70083,WIN,29.60,254.9,238,146,57,35,391,69,8,6,4,0
162,70612,WIN,0.45,247.8,219,150,47,22,339,43,9,7,4,3
163,71047,WIN,-12.75,217.4,177,109,42,26,303,53,12,6,4,5
164,71511,WIN,-23.10,226.7,210,130,56,24,336,41,6,7,3,5
165,71982,WIN,2.20,226.3,207,137,37,33,329,48,9,6,4,3
166,72490,LOSS,-39.50,247.3,217,128,57,32,378,49,11,6,4,3
167,72974,WIN,17.35,239.3,226,147,42,37,377,34,3,6,5,0
168,73413,WIN,-4.95,213.6,199,130,48,21,301,44,11,5,3,3
169,73862,WIN,1.85,215.1,195,136,34,25,313,48,6,6,5,2
170,74326,WIN,15.40,225.7,217,132,50,35,362,39,6,5,4,0
171,74845,LOSS,-37.80,246.7,210,125,48,37,352,32,6,5,5,3
172,75204,LOSS,-14.25,165.2,137,87,33,17,219,35,9,5,2,1
173,75699,WIN,21.40,245.4,233,147,56,30,381,64,8,4,4,0
174,76217,WIN,23.10,246.4,238,150,55,33,386,44,7,7,3,0
175,76673,WIN,10.65,226.7,222,144,53,25,350,45,7,6,3,1
176,77135,WIN,13.80,228.2,213,129,64,20,345,38,6,6,4,1
177,77615,WIN,22.80,237.8,229,134,55,40,403,46,5,5,4,0
178,78044,WIN,-9.75,209.7,198,126,51,21,304,33,7,6,3,3
179,78499,WIN,35.00,227.8,215,136,59,20,329,82,9,5,4,0
180,78979,WIN,13.40,227.5,202,127,47,28,314,48,10,6,3,1
181,79379,LOSS,-22.40,180.2,152,98,38,16,231,28,6,5,3,2
182,79883,WIN,22.60,248.8,244,161,54,29,379,58,8,5,5,0
183,80414,WIN,24.15,253.5,239,153,51,35,407,49,6,4,4,0
184,80869,WIN,22.80,224.1,224,136,57,31,364,57,6,5,4,0
185,81365,WIN,24.25,241.2,241,145,62,34,386,58,9,5,5,0
186,81882,WIN,27.90,247.6,241,146,65,30,389,72,11,4,4,0
187,82337,WIN,13.20,221.2,216,141,53,22,336,46,5,6,2,1
188,82773,LOSS,-34.70,217.8,187,117,46,24,312,44,10,6,4,2
189,83214,WIN,1.30,222.0,214,122,60,32,363,43,9,5,4,1
190,83584,LOSS,-32.00,170.5,135,91,28,16,216,33,9,4,2,3
191,84019,WIN,17.70,224.2,218,127,59,32,351,53,7,4,4,0
192,84418,LOSS,-22.40,187.8,145,95,34,16,241,43,11,5,3,2
193,84904,WIN,19.20,238.2,234,133,65,36,388,41,7,6,4,0
194,85379,WIN,16.05,229.8,214,131,59,24,341,51,9,5,3,2
195,85859,WIN,20.25,237.4,222,127,66,29,368,38,4,6,4,0
196,86212,LOSS,-9.70,163.1,131,92,20,19,203,52,8,4,3,1
197,86666,WIN,0.55,233.4,223,141,53,29,342,55,8,7,6,2
198,87154,WIN,-16.60,235.8,217,129,63,25,359,28,6,7,3,4
199,87503,LOSS,-30.10,154.2,116,82,21,13,173,27,6,5,2,1
200,87971,WIN,-4.70,221.0,204,136,47,21,316,48,6,6,3,3
201,88473,WIN,3.90,247.3,217,131,49,37,367,49,9,7,5,1
202,88900,LOSS,-40.75,211.1,175,110,41,24,288,40,8,6,4,3
203,89335,LOSS,-27.65,215.7,184,117,42,25,301,43,6,6,5,2
204,89821,WIN,3.70,240.9,222,127,63,32,369,60,8,7,4,2
205,90299,WIN,22.50,234.9,226,137,52,37,370,60,9,5,4,0
206,90761,WIN,11.85,224.1,215,142,47,26,334,45,9,6,4,1
207,91270,WIN,21.95,252.7,236,142,59,35,416,57,9,5,5,0
208,91713,WIN,-7.55,211.8,185,120,40,25,283,34,7,7,4,4
209,92216,WIN,13.85,241.9,225,139,56,30,377,50,8,5,4,1
210,92680,WIN,-4.95,230.2,211,124,65,22,334,45,9,7,3,2
211,93156,WIN,10.85,239.1,222,125,57,40,387,49,7,6,3,1
212,93636,WIN,20.50,237.6,228,141,58,29,354,62,10,6,3,1
