episode,result,duration,kills,clicks,suns,gravebusters,cherries,ices,mowers,closest_approach,danger_near
1,WIN,248.2,256,384,66,11,2,2,0,-0.06,24
2,WIN,212.3,243,286,64,7,3,3,0,2.62,0
3,WIN,236.3,244,401,35,4,1,3,0,0.30,11
4,WIN,244.4,263,373,69,8,3,4,0,0.93,2
5,WIN,236.9,249,405,39,4,2,3,0,-0.48,29
6,WIN,208.3,234,285,54,9,3,4,0,0.82,10
7,WIN,242.5,258,359,49,6,3,4,0,0.94,2
8,WIN,242.7,245,400,51,9,2,2,0,-0.02,35
9,WIN,247.1,267,370,67,8,3,4,0,0.95,1
10,WIN,236.2,242,387,50,6,2,3,2,-0.61,54
11,WIN,215.9,248,305,52,8,3,3,0,0.08,17
12,WIN,221.8,253,318,67,10,3,4,0,0.89,2
13,WIN,225.1,257,314,68,7,3,4,0,2.88,0
14,WIN,230.8,253,345,61,10,3,4,0,2.31,0
15,WIN,238.5,250,371,55,8,2,2,0,0.25,16
16,WIN,231.3,258,295,62,11,3,4,0,0.99,1
17,WIN,250.1,258,417,54,7,2,3,1,-0.60,38
18,WIN,221.1,241,326,66,7,3,4,0,0.91,2
19,WIN,230.4,243,375,50,7,2,3,0,0.17,39
20,WIN,211.3,237,317,50,7,3,4,0,1.93,0
21,WIN,228.6,232,366,45,6,2,3,4,-0.60,37
22,WIN,220.4,245,320,69,7,3,4,0,2.89,0
23,WIN,223.2,243,338,52,6,3,4,0,1.92,0
24,WIN,212.1,234,332,46,5,2,3,0,0.94,3
25,WIN,216.8,235,337,43,5,3,3,0,1.84,0
26,WIN,231.4,243,379,50,9,2,2,0,0.23,19
27,WIN,245.5,255,398,44,10,1,3,1,-0.60,46
28,WIN,212.6,237,307,56,9,2,3,0,0.93,1
29,WIN,236.4,238,385,30,7,1,2,0,-0.31,31
30,WIN,233.6,246,389,38,10,1,2,0,0.26,11
31,WIN,225.0,242,346,38,5,2,3,0,-0.56,52
32,WIN,232.3,261,356,61,9,3,4,0,0.86,6
33,WIN,228.7,259,347,46,7,3,3,0,1.87,0
34,WIN,245.6,256,393,33,4,2,2,1,-0.61,28
35,WIN,244.7,266,356,68,8,3,4,0,1.91,0
36,WIN,215.6,235,325,53,8,3,4,0,0.96,1
37,WIN,225.4,239,348,63,9,3,4,0,1.92,0
38,WIN,244.3,247,388,62,10,2,2,0,-0.23,22
39,WIN,229.4,240,380,55,7,2,3,0,0.15,22
40,WIN,220.5,243,322,52,9,3,4,0,0.98,1
41,WIN,223.2,240,370,56,7,2,3,0,0.76,2
42,WIN,231.1,241,373,58,7,2,3,0,0.54,7
43,WIN,205.4,233,291,69,9,2,2,0,0.92,1
44,WIN,216.2,244,315,55,7,3,4,0,1.48,0
45,WIN,231.3,257,361,69,7,3,4,0,2.37,0
46,WIN,236.5,250,409,40,11,0,2,0,0.92,2
47,WIN,241.8,250,385,53,7,2,3,0,1.15,0
48,WIN,211.8,239,315,49,7,3,4,0,1.93,0
49,WIN,211.2,234,312,51,8,2,4,0,1.86,0
50,WIN,253.0,262,390,61,8,2,3,0,0.27,11
51,WIN,232.8,247,395,35,8,1,3,1,-0.60,50
52,WIN,251.4,263,390,55,7,2,3,0,0.16,22
53,WIN,216.8,234,344,56,8,3,4,0,0.70,9
54,WIN,224.9,234,363,35,8,1,2,2,-0.60,62
55,WIN,238.3,257,378,65,9,3,4,0,1.35,0
56,WIN,231.6,248,340,64,7,3,3,0,0.95,3
57,WIN,243.6,249,392,53,7,1,1,0,0.73,8
58,WIN,232.1,240,370,52,9,2,2,0,0.87,7
59,WIN,227.5,244,349,48,7,2,3,0,0.89,1
60,WIN,240.5,267,349,58,8,3,4,0,2.10,0
61,WIN,227.9,252,310,62,9,3,3,0,1.96,0
62,WIN,254.5,265,396,61,5,2,3,1,-0.61,37
63,WIN,219.4,251,315,76,9,3,3,0,1.99,0
64,WIN,240.0,258,397,49,8,2,3,0,1.12,0
65,WIN,231.3,250,352,55,6,2,4,0,0.97,1
66,WIN,211.2,243,310,54,7,3,4,0,2.73,0
67,WIN,221.7,245,345,60,7,3,4,0,1.87,0
68,WIN,234.2,261,313,53,9,3,3,0,0.93,1
69,WIN,221.9,238,336,53,8,2,3,0,1.19,0
70,WIN,247.7,271,349,80,11,3,4,0,2.22,0
71,WIN,257.5,268,408,67,10,2,3,0,0.16,34
72,WIN,232.0,243,389,45,9,2,3,0,0.06,28
73,WIN,255.7,260,416,52,10,2,2,0,0.08,35
74,WIN,227.8,250,349,76,9,3,4,0,1.80,0
75,WIN,239.1,262,378,60,7,2,4,0,2.70,0
76,WIN,232.4,255,341,59,10,3,3,0,0.92,9
77,WIN,247.0,246,419,44,7,1,2,1,-0.61,43
78,WIN,236.8,253,364,53,6,3,4,0,2.33,0
79,WIN,223.9,240,347,47,7,2,3,0,0.95,2
80,WIN,224.9,232,361,47,5,2,3,2,-0.60,39
81,WIN,240.2,251,419,47,7,2,3,0,0.09,25
82,WIN,227.2,265,330,54,7,3,3,0,2.87,0
83,WIN,228.1,250,336,68,7,3,4,0,0.70,6
84,WIN,230.1,250,335,62,9,3,4,0,0.87,3
85,WIN,246.3,266,372,50,9,2,3,0,0.74,6
86,WIN,232.7,255,377,87,10,3,4,0,1.89,0
87,WIN,238.1,240,383,56,9,2,2,0,-0.52,35
88,WIN,241.2,258,376,58,6,3,3,0,0.96,1
89,WIN,243.3,252,403,51,8,2,3,0,-0.18,52
90,WIN,231.0,247,337,67,9,3,3,0,0.89,3
91,WIN,237.0,262,360,73,9,3,4,0,1.91,0
92,WIN,222.6,233,391,44,9,2,3,0,0.87,6
93,WIN,234.9,242,364,47,6,2,3,0,-0.20,29
94,WIN,223.2,238,362,39,5,2,2,2,-0.61,39
95,WIN,210.2,234,312,51,8,3,3,0,1.99,0
96,WIN,223.6,247,347,45,7,2,3,0,0.98,2
97,WIN,234.9,242,366,61,7,2,3,0,0.30,14
98,WIN,230.5,238,410,26,4,2,2,0,0.45,18
99,WIN,243.1,250,376,61,8,3,4,0,2.32,0
100,WIN,222.5,236,348,53,10,2,3,0,0.36,3
101,WIN,232.1,250,325,67,10,3,3,0,1.48,0
102,WIN,221.3,256,278,64,10,3,3,0,0.96,1
103,WIN,235.3,256,371,47,7,3,3,0,0.96,3
104,WIN,213.2,239,310,74,10,3,3,0,2.54,0
105,WIN,223.8,247,357,57,9,3,4,0,0.91,2
106,WIN,212.3,250,291,70,8,3,4,0,1.94,0
107,WIN,224.2,243,348,58,8,3,4,0,1.86,0
108,WIN,231.2,256,347,67,8,3,4,0,1.00,1
109,WIN,233.5,240,390,39,6,2,3,0,-0.34,33
110,WIN,248.2,264,402,58,8,2,3,0,0.42,6
111,WIN,223.7,236,382,29,6,1,2,2,-0.61,54
112,WIN,248.2,268,394,39,5,2,3,0,-0.02,11
113,WIN,212.0,235,298,66,8,3,3,0,0.91,1
114,WIN,234.6,254,350,58,7,3,4,0,0.72,6
115,WIN,223.2,243,335,60,7,3,3,0,0.95,1
116,WIN,223.3,246,331,61,10,3,4,0,0.91,4
117,WIN,233.8,256,343,45,5,3,4,0,0.81,1
118,WIN,228.7,252,354,65,8,3,4,0,0.95,2
119,WIN,229.7,254,325,50,8,3,4,0,0.96,3
120,WIN,236.2,249,382,51,9,2,2,0,0.67,4
121,WIN,233.2,259,362,64,10,3,3,0,1.89,0
122,WIN,220.9,231,394,26,4,2,2,0,1.12,0
123,WIN,243.9,249,370,49,6,2,3,2,-0.60,48
