episode,result,duration,kills,clicks,suns,gravebusters,cherries,ices,mowers,closest_approach,danger_near
1,WIN,246.0,256,417,29,10,0,0,0,-0.07,20
2,WIN,255.2,262,441,35,12,0,0,0,0.21,27
3,WIN,250.2,261,449,25,7,0,0,0,0.16,33
4,WIN,244.1,251,419,25,7,0,0,0,0.44,12
5,WIN,221.6,232,395,25,6,0,0,0,1.57,0
6,WIN,243.3,255,441,17,6,0,0,0,0.68,6
7,WIN,234.9,245,412,23,7,0,0,0,0.21,10
8,WIN,245.7,255,422,25,5,0,0,0,0.22,16
9,WIN,235.7,251,398,26,7,0,0,0,1.82,0
10,WIN,246.3,262,432,37,8,0,0,0,0.05,17
11,WIN,216.5,233,387,29,9,0,0,0,1.35,0
12,WIN,238.3,260,441,33,9,0,0,0,0.51,7
13,WIN,249.7,256,455,12,5,0,0,0,-0.33,28
14,WIN,236.1,255,427,22,6,0,0,0,0.97,3
15,WIN,247.1,260,412,24,10,0,0,0,1.83,0
16,WIN,226.7,237,393,27,7,0,0,0,0.25,16
17,WIN,250.9,263,440,29,9,0,0,0,0.08,24
18,WIN,223.2,247,396,25,7,0,0,0,0.84,21
19,WIN,238.2,254,437,30,9,0,0,0,1.30,0
20,WIN,249.0,260,429,26,10,0,0,0,0.96,2
21,WIN,246.5,261,435,34,10,0,0,0,1.93,0
22,WIN,254.1,262,448,24,10,0,0,0,0.24,19
23,WIN,227.8,246,407,34,10,0,0,0,1.98,0
24,WIN,256.5,265,472,18,7,0,0,2,-0.61,41
25,WIN,227.0,246,415,26,7,0,0,0,0.84,1
26,WIN,260.9,267,468,28,8,0,0,0,-0.06,23
27,WIN,247.5,260,413,35,10,0,0,0,0.95,5
28,WIN,227.6,241,406,23,6,0,0,0,0.25,50
29,WIN,234.3,248,408,17,7,0,0,0,0.34,7
30,WIN,232.5,240,425,21,7,0,0,0,-0.08,19
31,WIN,231.4,244,435,19,7,0,0,0,-0.28,29
32,WIN,236.1,257,440,28,10,0,0,0,0.22,60
33,WIN,230.7,246,418,24,8,0,0,0,0.27,10
34,WIN,239.0,257,422,33,11,0,0,0,2.66,0
35,WIN,239.9,256,419,30,8,0,0,0,0.87,6
36,WIN,237.4,246,421,25,9,0,0,0,0.62,5
