episode,result,duration,kills,clicks,suns,gravebusters,potato_mines,ices,mowers,closest_approach,danger_near
1,WIN,254.9,241,398,68,6,5,4,0,1.90,0
2,WIN,227.7,223,351,56,6,4,3,0,0.87,7
3,WIN,230.7,225,338,79,7,4,4,0,0.94,1
4,WIN,222.6,214,366,41,4,6,3,0,-0.27,31
5,WIN,221.9,223,356,51,7,4,4,0,2.31,0
6,WIN,233.0,228,355,50,6,6,4,0,0.82,4
7,WIN,241.0,236,377,58,4,4,4,0,1.89,0
8,WIN,240.5,228,422,54,6,4,4,0,2.33,0
9,WIN,241.4,231,404,43,4,5,4,0,0.90,2
10,WIN,243.2,239,389,47,4,5,4,0,2.34,0
11,WIN,237.6,235,380,49,7,5,2,0,0.28,11
12,WIN,236.6,229,367,59,7,5,2,0,1.21,0
13,WIN,231.2,231,357,48,4,6,3,0,1.17,0
14,WIN,242.7,246,398,41,6,4,3,0,1.13,0
15,WIN,225.6,227,345,40,4,5,4,0,0.91,4
16,WIN,237.3,229,371,49,5,5,4,0,0.96,1
17,WIN,235.7,230,384,48,6,4,4,0,0.97,1
18,WIN,243.2,231,405,50,7,5,3,0,0.74,5
19,WIN,246.4,239,391,42,6,5,3,0,0.23,15
20,WIN,224.4,221,363,44,6,5,2,0,0.79,2
21,WIN,241.5,234,388,58,6,4,4,0,0.83,4
22,WIN,225.0,222,353,48,5,5,4,0,0.93,1
23,WIN,221.0,219,367,47,5,4,4,0,1.26,0
24,WIN,232.3,227,376,42,5,5,4,0,1.34,0
25,WIN,224.8,220,369,39,2,6,2,0,0.77,2
26,WIN,241.1,237,400,43,6,5,3,0,0.00,18
27,WIN,217.3,215,344,47,4,5,4,0,1.91,0
28,WIN,244.8,240,392,52,6,5,4,0,0.89,1
29,WIN,237.2,239,366,39,3,5,3,0,0.97,1
30,WIN,227.1,220,355,45,5,5,3,0,0.95,7
31,WIN,237.1,232,389,37,3,6,4,0,1.34,0
32,WIN,217.4,219,343,51,4,4,3,0,0.83,2
33,WIN,240.0,235,398,50,5,5,3,0,2.05,0
34,WIN,242.0,240,380,42,4,5,3,0,0.90,1
35,WIN,242.1,245,393,49,8,4,3,0,0.34,4
36,WIN,239.0,234,378,47,8,3,3,0,0.97,1
37,WIN,246.7,233,372,89,7,4,4,0,1.98,0
38,WIN,232.6,224,363,51,6,6,4,0,0.76,15
39,WIN,237.2,230,363,56,7,5,3,0,1.19,0
40,WIN,252.1,235,394,68,7,3,3,0,1.99,0
41,WIN,234.9,228,382,39,4,4,3,0,1.11,0
42,WIN,240.9,233,395,43,4,4,4,0,2.25,0
43,WIN,237.6,241,402,35,4,5,2,0,0.08,47
44,WIN,239.9,238,379,49,5,6,4,0,0.91,3
45,WIN,249.0,245,384,65,8,4,4,0,2.19,0
46,WIN,242.1,236,375,47,5,5,2,0,0.44,6
47,WIN,242.2,231,372,76,7,3,4,0,1.92,0
48,WIN,249.5,242,412,61,7,4,3,0,0.93,2
49,WIN,254.7,235,376,44,6,5,3,0,1.73,0
50,WIN,222.1,213,349,50,5,3,4,0,1.92,0
51,WIN,217.5,217,355,38,3,3,2,0,1.25,0
52,WIN,241.2,240,392,40,4,5,3,0,0.61,10
53,WIN,241.2,233,368,42,6,4,4,0,0.90,4
54,WIN,221.9,219,368,49,8,6,3,0,0.91,1
55,WIN,222.4,216,382,32,5,5,1,0,0.15,32
56,WIN,236.8,236,399,48,6,5,4,0,2.34,0
57,WIN,221.4,217,380,49,7,4,3,0,0.30,13
58,WIN,251.7,245,393,72,8,5,4,0,1.74,0
59,WIN,228.0,219,371,44,6,2,3,0,0.92,5
60,WIN,233.0,224,373,53,7,5,5,0,1.34,0
61,WIN,245.6,227,381,62,7,4,3,0,0.88,1
62,WIN,243.2,236,413,50,7,5,3,0,1.09,0
63,WIN,227.1,226,382,46,6,5,3,0,1.04,0
64,WIN,231.3,228,377,43,5,5,3,0,0.36,14
65,WIN,220.5,215,344,56,6,4,4,0,0.99,1
66,WIN,234.8,232,371,42,7,5,3,2,-0.60,45
67,WIN,227.4,223,368,61,7,6,3,0,1.20,0
68,WIN,241.4,235,384,53,6,4,4,0,1.91,0
69,WIN,238.2,234,385,36,6,4,4,0,0.88,4
70,WIN,246.4,239,374,55,8,3,3,0,0.57,1
71,WIN,217.2,214,350,58,6,6,4,0,1.94,0
72,WIN,242.9,239,395,65,8,5,2,0,0.85,2
73,WIN,245.2,241,399,42,6,5,4,0,1.70,0
74,WIN,241.2,225,400,44,6,4,3,0,1.11,0
75,WIN,222.2,218,351,38,6,5,4,0,0.98,1
76,WIN,238.5,234,384,48,6,5,3,0,0.63,8
77,WIN,242.3,244,387,58,7,3,2,0,0.82,8
78,WIN,246.9,241,414,50,6,4,4,0,1.80,0
79,WIN,245.3,240,393,37,7,5,2,0,1.06,0
80,WIN,237.1,223,352,81,8,4,3,0,2.07,0
81,WIN,225.7,217,374,75,5,3,4,0,1.85,0
82,WIN,242.3,236,399,57,6,5,5,0,1.35,0
83,WIN,250.0,243,401,66,6,4,4,0,2.08,0
84,WIN,241.5,242,396,56,5,5,3,0,1.23,0
85,WIN,225.4,222,354,56,6,4,2,0,1.22,0
86,WIN,219.2,211,345,68,8,4,3,0,1.80,0
87,WIN,224.0,224,360,39,4,5,3,0,0.82,7
88,WIN,247.0,240,376,55,7,4,3,0,0.83,3
89,WIN,228.5,221,345,59,7,5,4,0,0.95,1
90,WIN,225.8,216,352,62,7,3,3,0,2.11,0
91,WIN,246.5,239,382,63,4,4,4,0,1.96,0
92,WIN,219.1,222,352,29,4,5,4,0,0.95,1
93,WIN,244.9,232,394,60,6,4,4,0,2.12,0
94,WIN,231.2,227,409,35,5,5,2,1,-0.60,41
95,WIN,250.7,234,355,83,7,4,4,0,1.97,0
96,WIN,218.5,216,336,64,6,5,3,0,0.58,1
97,WIN,230.1,223,386,46,6,5,3,0,0.20,31
98,WIN,224.0,220,378,39,3,5,3,0,1.18,0
99,WIN,221.3,221,364,47,5,3,3,0,0.24,16
100,WIN,255.1,246,433,52,7,3,3,0,0.17,26
101,WIN,247.4,239,375,68,8,4,3,0,0.91,5
