episode,result,duration,kills,clicks,suns,gravebusters,potato_mines,ices,mowers,closest_approach,danger_near
1,WIN,241.2,241,411,22,6,0,0,0,0.62,7
2,WIN,231.7,243,370,34,12,0,0,0,2.97,0
3,WIN,226.2,230,397,29,8,0,0,0,0.85,5
4,WIN,230.7,230,390,31,6,0,0,0,0.60,10
5,WIN,214.8,223,367,21,7,0,0,0,2.14,0
6,WIN,219.3,222,385,32,10,0,0,0,2.05,0
7,WIN,234.0,235,387,39,12,0,0,0,0.97,2
8,WIN,209.4,216,345,24,9,0,0,0,2.75,0
9,WIN,223.7,227,382,24,9,0,0,0,1.99,0
10,WIN,230.0,237,389,29,8,0,0,0,0.93,3
11,WIN,222.6,230,396,20,5,0,0,0,1.97,0
12,WIN,235.3,236,407,36,9,0,0,0,1.74,0
13,WIN,221.4,225,357,30,10,0,0,0,1.98,0
14,WIN,220.7,224,357,36,9,0,0,0,0.90,3
15,WIN,213.6,219,358,21,7,0,0,0,0.64,12
16,WIN,217.6,216,342,35,10,0,0,0,0.97,2
17,WIN,227.6,235,337,25,8,0,0,0,0.86,4
18,WIN,230.2,236,393,30,9,0,0,0,0.87,5
19,WIN,244.9,248,427,24,8,0,0,0,0.86,9
20,WIN,225.9,232,399,28,9,0,0,0,2.17,0
21,WIN,238.8,242,425,33,9,0,0,0,0.91,1
22,WIN,237.8,245,414,22,8,0,0,0,1.95,0
23,WIN,225.0,232,396,21,8,0,0,0,0.81,1
24,WIN,228.4,232,373,29,10,0,0,0,0.92,2
25,WIN,227.4,228,392,24,9,0,0,0,0.78,3
26,WIN,224.2,228,388,28,10,0,0,0,1.93,0
27,WIN,220.9,222,372,19,7,0,0,0,2.98,0
28,WIN,211.4,214,339,31,9,0,0,0,1.00,1
29,WIN,223.6,225,398,26,10,0,0,0,0.90,1
30,WIN,225.0,225,388,29,7,0,0,0,0.87,6
31,WIN,208.9,217,360,14,4,0,0,0,1.84,0
32,WIN,238.3,240,431,21,6,0,0,0,2.23,0
33,WIN,218.1,228,360,23,8,0,0,0,0.88,4
34,WIN,217.6,216,374,16,4,0,0,0,0.69,2
35,WIN,238.9,243,403,20,6,0,0,0,0.93,1
36,WIN,217.4,217,357,20,8,0,0,0,1.87,0
37,WIN,220.3,223,372,20,4,0,0,0,-0.00,19
38,WIN,215.6,221,362,28,10,0,0,0,0.68,6
39,WIN,238.3,240,392,33,9,0,0,0,1.26,0
40,WIN,239.9,248,401,24,9,0,0,0,0.60,3
41,WIN,205.5,217,334,14,6,0,0,0,0.96,1
42,WIN,230.6,240,373,33,8,0,0,0,0.98,1
