episode,step,result,reward,duration,kills,kills_zombie,kills_cone,kills_bucket,clicks,suns_collected,gravebusters,cherries,ices,mowers_used
1,521,WIN,36.30,251.7,259,154,71,34,390,47,5,3,5,0
2,911,LOSS,-16.50,171.7,144,95,35,14,199,41,8,2,3,1
3,1407,WIN,9.95,233.1,227,152,44,31,355,41,7,2,3,2
4,1882,WIN,37.25,228.6,248,154,64,30,308,82,10,3,5,0
5,2377,WIN,32.80,239.5,250,142,77,31,380,61,10,2,6,0
6,2845,WIN,0.60,218.3,224,143,55,26,336,43,7,2,4,2
7,3348,WIN,38.85,237.4,262,159,81,22,319,73,11,3,5,0
8,3826,WIN,6.20,223.6,241,153,58,30,349,47,6,3,3,1
9,4353,WIN,29.95,248.2,265,160,65,40,371,72,9,3,4,0
10,4805,WIN,5.65,219.6,234,149,55,30,336,47,7,2,3,2
11,5277,WIN,1.95,232.9,240,149,55,36,375,64,8,3,6,1
12,5760,WIN,27.15,231.8,249,161,56,32,351,49,7,2,4,0
13,6206,WIN,33.45,206.3,232,138,55,39,292,60,9,3,5,0
14,6709,WIN,39.45,225.0,247,143,65,39,296,67,10,3,4,0
15,7200,WIN,13.50,228.9,243,152,64,27,354,62,10,2,3,0
16,7740,WIN,20.65,244.6,252,156,55,41,377,55,9,2,5,1
17,8233,WIN,23.40,230.7,231,149,63,19,344,51,10,2,4,1
18,8737,WIN,38.85,233.2,259,152,69,38,330,73,8,3,5,0
19,9191,WIN,40.80,221.9,250,149,72,29,301,73,13,3,4,0
20,9659,WIN,27.10,222.0,237,151,52,34,302,69,11,3,4,0
21,10177,WIN,36.45,243.0,259,155,61,43,376,53,9,3,4,0
22,10695,WIN,22.55,246.7,263,176,67,20,355,50,10,1,4,1
23,11195,WIN,25.50,239.9,257,152,80,25,362,51,7,3,5,0
24,11722,WIN,-7.45,254.3,253,158,59,36,397,54,10,2,5,2
25,12190,WIN,24.15,225.3,248,156,60,32,338,44,8,2,3,0
26,12695,WIN,40.20,231.2,261,150,72,39,334,76,9,3,5,0
27,13188,WIN,13.35,237.3,250,160,58,32,370,39,6,2,3,1
28,13734,WIN,5.15,260.6,245,153,60,32,389,52,11,2,4,2
